"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"1296",28,21,101.8,103.8,0.4465,51.9,50.2,20.4,21.1,30.5,30.6,37.3,45.2,51.6,49.7,34.8,34.1,75.2,-6.3,0,2018
"1290",34,18,104.2,109.8,0.3542,51.7,50.9,18.3,19,27.2,33.1,36.1,37.9,50.7,49.4,35.6,36,73.9,-10.6,0,2018
"241",31,10,101.5,109.1,0.3032,51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,50.5,51.1,35.2,37,73.9,-16,0,2016
"3174",35,23,113.1,96.9,0.8557,53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,53,45.4,36.8,33.4,67.9,3.4,1,2023
"1854",31,19,105.4,97.4,0.7142,49.2,47,20.5,21.6,34.4,34.8,33.4,38,46.9,46.9,35.6,31.5,69.3,-2.5,0,2013
"2985",34,21,101.3,101.7,0.4897,47.5,47.3,17.3,17.8,29.4,27.9,36.9,33.6,46.3,46.6,33.1,32.3,66.3,-6.1,1,2022
"2294",31,21,100.8,100.7,0.5035,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,61.5,-3.9,1,2015
"4013",29,18,114.9,111,0.5972,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,71,-7.1,1,2025
"2420",35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,1,2016
"2904",34,23,108.5,96.7,0.7889,50.6,48.2,18.7,18,33.8,26.5,32.7,32.4,49.1,48,36.2,32.3,68,-1.5,1,2022
"3305",29,12,102.4,107.5,0.3638,49.6,55,16.8,21.3,24,31.4,34.8,46.6,49.7,55,33,36.8,72.3,-12.9,1,2023
"2528",14,2,87.5,99.8,0.1818,41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,42.2,52.8,26.9,33.4,63.5,-8.2,1,2021
"3067",28,13,100.7,108.6,0.2974,50.2,52.9,18.9,19.4,24.7,33.4,26,34.7,50.5,52,33.2,36.2,67.8,-11.9,1,2022
"1727",30,7,95.7,103.8,0.2809,44,50.4,17.6,17.3,31.4,34.2,32.3,41.9,44.6,49.7,28.3,34.4,64.4,-15.9,0,2014
"483",32,15,99.9,105.3,0.3533,47.6,51.1,19,18.9,28.9,33,40.8,30.2,46.3,51.6,33.8,33.5,73,-11.8,0,2019
"2955",32,23,102.4,99.1,0.5935,49.8,49,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,-4.5,1,2022
"4191",27,8,103.2,116.1,0.2061,49.4,53,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,67.1,-13.8,1,2025
"3572",29,30,111.3,101,0.7524,54.9,47.8,14.2,23,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33,65.3,0.7,1,2024
"1113",29,12,95.8,106.2,0.2328,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,44.5,51.5,31.6,32.3,65.8,-11.7,0,2015
"1777",30,14,101.2,101.9,0.4795,50.4,49,20.9,18.4,30.5,26.9,35.3,30.5,48.3,48.1,36.5,33.9,63.2,-10.5,0,2013
"3008",28,11,98.6,101.6,0.4159,50.6,51.7,19.2,15.8,17.3,22.5,26.4,26.2,52.8,50.1,32,36.1,69.5,-12.3,1,2022
"2438",35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,1,2016
